City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
256,Cleveland,US,2022-10-12 04:16:29,41.4995,-81.6954,290.01,56,0,4.63
257,Tamsweg,AT,2022-10-12 04:17:00,47.1281,13.811,279.93,97,96,1.26
258,Shingu,JP,2022-10-12 04:17:01,33.7333,135.9833,295.68,60,99,3.24
259,Biltine,TD,2022-10-12 04:17:02,14.5333,20.9167,300.09,52,44,1.38
260,Miri,MY,2022-10-12 04:17:02,4.4148,114.0089,301.23,78,40,5.14
261,Tabuk,PH,2022-10-12 04:17:03,17.4189,121.4443,296.22,93,100,2.43
262,Cananeia,BR,2022-10-12 04:17:03,-25.0147,-47.9267,292.78,96,98,1.1
263,Kahului,US,2022-10-12 04:16:47,20.8947,-156.47,301.16,80,40,6.69
264,Sassandra,CI,2022-10-12 04:17:04,4.95,-6.0833,296.85,93,90,1.33
265,Shimoda,JP,2022-10-12 04:17:05,34.6667,138.95,293.35,65,100,8.77
266,The Pas,CA,2022-10-12 04:15:36,53.8251,-101.2541,282.16,57,100,9.26
267,Tarnogskiy Gorodok,RU,2022-10-12 04:17:06,60.4997,43.5761,275.45,94,84,2.07
268,Nizhniy Kuranakh,RU,2022-10-12 04:17:06,58.8353,125.4869,276.6,96,100,0.9
269,Palmer,US,2022-10-12 04:17:07,42.1584,-72.3287,285.47,88,1,1.34
270,Methoni,GR,2022-10-12 04:17:07,36.8197,21.7049,292.16,75,8,0.94
271,Souillac,MU,2022-10-12 04:17:08,-20.5167,57.5167,296.36,64,40,5.14
272,Jamalpur,BD,2022-10-12 04:17:08,24.9167,89.9333,301.59,75,86,2.11
273,Rio Verde De Mato Grosso,BR,2022-10-12 04:18:09,-18.9181,-54.8442,294.95,83,100,2.44
274,Uvalde,US,2022-10-12 04:18:10,29.3669,-99.767,295.55,64,40,2.06
275,Eshowe,ZA,2022-10-12 04:18:11,-28.8865,31.4699,291.36,69,100,2.36
276,Guanica,PR,2022-10-12 04:18:11,17.9716,-66.908,298.68,91,0,3.64
277,Kolomak,UA,2022-10-12 04:18:12,49.8399,35.3044,276.94,72,7,2.85
278,Itacare,BR,2022-10-12 04:18:13,-14.2775,-38.9967,296.13,87,12,4.16
279,Izhma,RU,2022-10-12 04:18:13,65.0083,53.9113,277.37,91,38,3.01
280,San Lorenzo,PY,2022-10-12 04:18:14,-25.3333,-57.5333,284.67,100,0,0.0
281,Baherden,TM,2022-10-12 04:18:14,38.4362,57.4316,294.14,43,3,0.81
282,Sterling,US,2022-10-12 04:16:46,39.0062,-77.4286,287.12,81,20,2.57
283,Mahebourg,MU,2022-10-12 04:18:15,-20.4081,57.7,296.62,64,40,5.14
284,Hobyo,SO,2022-10-12 04:18:16,5.3505,48.5268,298.71,80,79,8.52
285,Springbok,ZA,2022-10-12 04:18:17,-29.6643,17.8865,290.7,40,81,1.31
286,Lerwick,GB,2022-10-12 04:18:17,60.1545,-1.1494,285.15,93,100,10.66
287,Marsa Matruh,EG,2022-10-12 04:18:18,31.3525,27.2453,294.07,72,62,2.33
288,Maniitsoq,GL,2022-10-12 04:18:19,65.4167,-52.9,270.35,77,84,3.33
289,Moose Factory,CA,2022-10-12 04:18:19,51.2585,-80.6094,287.15,62,0,6.17
290,Rawson,AR,2022-10-12 04:18:20,-43.3002,-65.1023,288.25,40,25,11.3
