City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Angoche,MZ,-16.2325,39.9086,68.95,87,0,5.35,clear sky
293,Vangaindrano,MG,-23.35,47.6,64.63,87,0,5.21,clear sky
294,Alta,NO,69.9689,23.2717,45.66,84,100,4.61,light rain
295,Kassala,SD,15.451,36.4,83.7,51,89,7.63,overcast clouds
296,Colares,PT,38.7992,-9.4469,67.33,85,87,5.01,overcast clouds
297,Kuznetsk,RU,53.1167,46.6004,32.43,86,92,3.49,overcast clouds
298,Oyem,GA,1.5995,11.5793,66.88,100,100,1.14,light rain
299,Umm Lajj,SA,25.0213,37.2685,80.44,52,0,0.81,clear sky
300,Brae,GB,60.3964,-1.353,46.53,81,61,4.32,light rain
301,Yenagoa,NG,4.9247,6.2642,74.37,94,100,2.48,overcast clouds
302,Duki,PK,30.1541,68.5728,70.05,14,0,3.4,clear sky
303,Raghunathpur,IN,23.55,86.6667,80.69,60,4,5.91,clear sky
304,Monrovia,LR,6.3005,-10.7969,74.97,88,100,5.91,moderate rain
305,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,11.5,few clouds
306,Hwange,ZW,-18.3693,26.5019,71.82,33,30,5.64,scattered clouds
307,Sinazongwe,ZM,-17.2614,27.4618,74.16,36,6,6.08,clear sky
308,Papayal,PE,-4.0761,-80.7361,72.57,59,100,0.96,overcast clouds
309,Matay,EG,28.419,30.7792,73.45,43,3,5.28,clear sky
310,Gat,IL,31.61,34.7642,70.39,46,0,5.79,clear sky
311,Kisangani,CD,0.5167,25.2,70.34,99,100,2.91,light rain
312,Quatre Cocos,MU,-20.2078,57.7625,72.09,74,100,10.83,overcast clouds
313,Dzerzhinsk,RU,56.2389,43.4631,37.22,93,75,2.24,broken clouds
314,Altay,CN,47.8667,88.1167,55.18,24,79,2.71,broken clouds
315,Calabozo,VE,8.9242,-67.4293,75.16,88,41,4.29,scattered clouds
316,Raga,SS,8.4596,25.678,69.37,93,100,5.53,overcast clouds
317,Igarka,RU,67.4667,86.5833,30.87,86,100,13.69,overcast clouds
318,Torrijos,ES,39.9819,-4.2835,66.07,52,14,4.63,few clouds
319,Rio Cuarto,AR,-33.1307,-64.3499,53.33,94,0,9.75,clear sky
320,Tessalit,ML,20.1986,1.0114,78.91,15,0,10.45,clear sky
321,Tromso,NO,69.6496,18.957,42.39,93,100,1.14,light rain
322,Bergerac,FR,44.8333,0.5,63.77,100,0,3.44,clear sky
323,Porto Belo,BR,-27.1578,-48.5531,66.15,94,100,8.72,overcast clouds
324,Contamana,PE,-7.3333,-75.0167,69.17,99,96,1.36,overcast clouds
325,Shiraz,IR,29.6036,52.5388,49.44,62,0,0.0,clear sky
326,Cacador,BR,-26.7753,-51.015,56.52,97,100,5.5,overcast clouds
327,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,69.42,55,94,1.99,overcast clouds
328,Matagami,CA,49.7502,-77.6328,42.91,93,100,11.5,moderate rain
329,Ambilobe,MG,-13.2,49.05,70.11,71,30,4.94,scattered clouds
330,Madingou,CG,-4.1536,13.55,73.71,92,89,2.21,overcast clouds
331,Filadelfia,US,39.9523,-75.1638,60.04,83,0,3.0,clear sky
332,Santa Barbara,US,34.7333,-120.0343,59.77,88,100,6.91,overcast clouds
333,Nossa Senhora Das Dores,BR,-10.4917,-37.1933,66.11,92,6,3.02,clear sky
334,Thompson,CA,55.7435,-97.8558,26.76,86,100,12.66,light shower snow
335,Oneonta,US,42.4529,-75.0638,53.11,87,59,1.32,broken clouds
336,Ornskoldsvik,SE,63.2909,18.7153,31.15,100,20,3.44,few clouds
337,Dudinka,RU,69.4058,86.1778,31.62,90,100,14.36,overcast clouds
338,West Bay,KY,19.3667,-81.4167,81.07,88,20,0.0,few clouds
339,Tucuman,AR,-26.8241,-65.2226,55.4,76,0,6.91,clear sky
340,Burlington,US,39.8835,-74.6413,62.71,88,0,4.61,clear sky
341,Turbat,PK,26.0023,63.044,81.68,14,67,3.09,broken clouds
342,Saint Anthony,US,45.0205,-93.218,49.93,67,100,11.5,overcast clouds
343,Atar,MR,20.5169,-13.0499,85.98,30,24,5.21,few clouds
344,Jalu,LY,29.0331,21.5482,65.59,71,0,8.88,clear sky
